"```python
[
    {""event"": ""Surrender of Japanese forces marking the end of World War II"", ""year"": 1945, ""date"": ""1945-09-02""},
    {""event"": ""Sack of Rome by Visigoths"", ""year"": 410, ""date"": ""0410-08-24""},
    {""event"": ""Fall of the Western Roman Empire"", ""year"": 476, ""date"": ""0476-09-04""},
    {""event"": ""Muhammad's Hijra to Medina"", ""year"": 622, ""date"": ""0622-09-24""},
    {""event"": ""Battle of Tours halting Muslim advance into Europe"", ""year"": 732, ""date"": ""0732-10-10""},
    {""event"": ""Charlemagne crowned Holy Roman Emperor"", ""year"": 800, ""date"": ""0800-12-25""},
    {""event"": ""Norman Conquest of England at Battle of Hastings"", ""year"": 1066, ""date"": ""1066-10-14""},
    {""event"": ""First Crusade begins"", ""year"": 1096, ""date"": ""1096-08-15""},
    {""event"": ""Magna Carta signed"", ""year"": 1215, ""date"": ""1215-06-15""},
    {""event"": ""Black Death reaches Europe"", ""year"": 1347, ""date"": ""1347-10-01""},
    {""event"": ""Fall of Constantinople"", ""year"": 1453, ""date"": ""1453-05-29""},
    {""event"": ""Protestant Reformation begins with Luther's Theses"", ""year"": 1517, ""date"": ""1517-10-31""},
    {""event"": ""Defeat of the Spanish Armada"", ""year"": 1588, ""date"": ""1588-07-29""},
    {""event"": ""Glorious Revolution"", ""year"": 1688, ""date"": ""1688-11-05""},
    {""event"": ""American Revolution begins"", ""year"": 1775, ""date"": ""1775-04-19""},
    {""event"": ""French Revolution"", ""year"": 1789, ""date"": ""1789-07-14""},
    {""event"": ""Battle of Waterloo"", ""year"": 1815, ""date"": ""1815-06-18""},
    {""event"": ""Unification of Italy"", ""year"": 1861, ""date"": ""1861-03-17""},
    {""event"": ""Meiji Restoration in Japan"", ""year"": 1868, ""date"": ""1868-01-03""},
    {""event"": ""Suez Canal opens"", ""year"": 1869, ""date"": ""1869-11-17""},
    {""event"": ""Franco-Prussian War"", ""year"": 1870, ""date"": ""1870-07-19""},
    {""event"": ""First Zionist Congress"", ""year"": 1897, ""date"": ""1897-08-29""},
    {""event"": ""Boxer Rebellion"", ""year"": 1900, ""date"": ""1900-06-13""},
    {""event"": ""Wright brothers' first flight"", ""year"": 1903, ""date"": ""1903-12-17""},
    {""event"": ""Russian Revolution of 1905 begins"", ""year"": 1905, ""date"": ""1905-01-09""},
    {""event"": ""Founding of the Ford Model T production"", ""year"": 1908, ""date"": ""1908-10-01""},
    {""event"": ""Sinking of the Titanic"", ""year"": 1912, ""date"": ""1912-04-15""},
    {""event"": ""World War I armistice"", ""year"": 1918, ""date"": ""1918-11-11""},
    {""event"": ""League of Nations established"", ""year"": 1920, ""date"": ""1920-01-10""},
    {""event"": ""Rise of Nazi Party with Beer Hall Putsch"", ""year"": 1923, ""date"": ""1923-11-08""},
    {""event"": ""Stock market crash"", ""year"": 1929, ""date"": ""1929-10-29""},
    {""event"": ""Discovery of Pluto"", ""year"": 1930, ""date"": ""1930-02-18""},
    {""event"": ""Second World War declaration"", ""year"": 1939, ""date"": ""1939-09-03""},
    {""event"": ""Battle of Britain"", ""year"": 1940, ""date"": ""1940-07-10""},
    {""event"": ""Operation Barbarossa"", ""year"": 1941, ""date"": ""1941-06-22""},
    {""event"": ""Battle of Stalingrad"", ""year"": 1942, ""date"": ""1942-08-23""},
    {""event"": ""Allied invasion of Italy"", ""year"": 1943, ""date"": ""1943-09-03""},
    {""event"": ""Normandy landings"", ""year"": 1944, ""date"": ""1944-06-06""},
    {""event"": ""Yalta Conference"", ""year"": 1945, ""date"": ""1945-02-11""},
    {""event"": ""Potsdam Conference"", ""year"": 1945, ""date"": ""1945-07-17""},
    {""event"": ""Trial of Nuremberg begins"", ""year"": 1945, ""date"": ""1945-11-20""},
    {""event"": ""Independence of Indonesia"", ""year"": 1945, ""date"": ""1945-08-17""},
    {""event"": ""Partition of Palestine"", ""year"": 1947, ""date"": ""1947-11-29""},
    {""event"": ""Assassination of Gandhi"", ""year"": 1948, ""date"": ""1948-01-30""},
    {""event"": ""Communist victory in China"", ""year"": 1949, ""date"": ""1949-10-01""},
    {""event"": ""North Atlantic Treaty"", ""year"": 1949, ""date"": ""1949-04-04""},
    {""event"": ""Korean armistice"", ""year"": 1953, ""date"": ""1953-07-27""},
    {""event"": ""Geneva Accords on Indochina"", ""year"": 1954, ""date"": ""1954-07-21""},
    {""event"": ""Formation of the Warsaw Pact"", ""year"": 1955, ""date"": ""1955-05-14""},
    {""event"": ""Suez nationalization"", ""year"": 1956, ""date"": ""1956-07-26""},
    {""event"": ""Eisenhower Doctrine"", ""year"": 1957, ""date"": ""1957-01-05""},
    {""event"": ""Cuban Revolution"", ""year"": 1959, ""date"": ""1959-01-01""},
    {""event"": ""U-2 spy plane incident"", ""year"": 1960, ""date"": ""1960-05-01""},
    {""event"": ""Bay of Pigs"", ""year"": 1961, ""date"": ""1961-04-17""},
    {""event"": ""Construction of Berlin Wall"", ""year"": 1961, ""date"": ""1961-08-13""},
    {""event"": ""Independence of Jamaica"", ""year"": 1962, ""date"": ""1962-08-06""},
    {""event"": ""Cuban Missile Crisis resolution"", ""year"": 1962, ""date"": ""1962-10-28""},
    {""event"": ""Assassination of Ngo Dinh Diem"", ""year"": 1963, ""date"": ""1963-11-02""},
    {""event"": ""Gulf of Tonkin incident"", ""year"": 1964, ""date"": ""1964-08-02""},
    {""event"": ""Independence of Singapore"", ""year"": 1965, ""date"": ""1965-08-09""},
    {""event"": ""Cultural Revolution launch"", ""year"": 1966, ""date"": ""1966-05-16""},
    {""event"": ""Six Day War"", ""year"": 1967, ""date"": ""1967-06-05""},
    {""event"": ""Prague Spring begins"", ""year"": 1968, ""date"": ""1968-01-05""},
    {""event"": ""My Lai Massacre"", ""year"": 1968, ""date"": ""1968-03-16""},
    {""event"": ""First landing on the Moon"", ""year"": 1969, ""date"": ""1969-07-20""},
    {""event"": ""Kent State shooting"", ""year"": 1970, ""date"": ""1970-05-04""},
    {""event"": ""Bangladesh Liberation War begins"", ""year"": 1971, ""date"": ""1971-03-26""},
    {""event"": ""Pentagon Papers published"", ""year"": 1971, ""date"": ""1971-06-13""},
    {""event"": ""Munich Olympics massacre"", ""year"": 1972, ""date"": ""1972-09-05""},
    {""event"": ""Yom Kippur War"", ""year"": 1973, ""date"": ""1973-10-06""},
    {""event"": ""Coup in Chile against Allende"", ""year"": 1973, ""date"": ""1973-09-11""},
    {""event"": ""Resignation of Nixon"", ""year"": 1974, ""date"": ""1974-08-09""},
    {""event"": ""Fall of Phnom Penh to Khmer Rouge"", ""year"": 1975, ""date"": ""1975-04-17""},
    {""event"": ""Apple I computer released"", ""year"": 1976, ""date"": ""1976-04-01""},
    {""event"": ""Election of Jimmy Carter"", ""year"": 1976, ""date"": ""1976-11-02""},
    {""event"": ""Camp David Accords signed"", ""year"": 1978, ""date"": ""1978-09-17""},
    {""event"": ""Iranian Revolution triumph"", ""year"": 1979, ""date"": ""1979-02-11""},
    {""event"": ""Soviet-Afghan War starts"", ""year"": 1979, ""date"": ""1979-12-24""},
    {""event"": ""Election of Margaret Thatcher"", ""year"": 1979, ""date"": ""1979-05-03""},
    {""event"": ""Mount St. Helens eruption"", ""year"": 1980, ""date"": ""1980-05-18""},
    {""event"": ""Reagan elected President"", ""year"": 1980, ""date"": ""1980-11-04""},
    {""event"": ""Assassination of Anwar Sadat"", ""year"": 1981, ""date"": ""1981-10-06""},
    {""event"": ""First flight of space shuttle"", ""year"": 1981, ""date"": ""1981-04-12""},
    {""event"": ""Falklands War"", ""year"": 1982, ""date"": ""1982-04-02""},
    {""event"": ""Sabra and Shatila massacre"", ""year"": 1982, ""date"": ""1982-09-16""},
    {""event"": ""Operation Blue Star in India"", ""year"": 1984, ""date"": ""1984-06-03""},
    {""event"": ""Bhopal disaster"", ""year"": 1984, ""date"": ""1984-12-03""},
    {""event"": ""Chernobyl disaster"", ""year"": 1986, ""date"": ""1986-04-26""},
    {""event"": ""Iran-Contra affair revealed"", ""year"": 1986, ""date"": ""1986-11-25""},
    {""event"": ""Black Monday stock market crash"", ""year"": 1987, ""date"": ""1987-10-19""},
    {""event"": ""Intifada begins in Palestine"", ""year"": 1987, ""date"": ""1987-12-09""},
    {""event"": ""Fall of Berlin Wall"", ""year"": 1989, ""date"": ""1989-11-09""},
    {""event"": ""Tiananmen Square massacre"", ""year"": 1989, ""date"": ""1989-06-04""},
    {""event"": ""Nelson Mandela released"", ""year"": 1990, ""date"": ""1990-02-11""},
    {""event"": ""Gulf War starts"", ""year"": 1991, ""date"": ""1991-01-17""},
    {""event"": ""Dissolution of USSR"", ""year"": 1991, ""date"": ""1991-12-26""},
    {""event"": ""Maastricht Treaty"", ""year"": 1992, ""date"": ""1992-02-07""},
    {""event"": ""Waco siege begins"", ""year"": 1993, ""date"": ""1993-02-28""},
    {""event"": ""Oslo Accords signed"", ""year"": 1993, ""date"": ""1993-09-13""},
    {""event"": ""Rwandan Genocide"", ""year"": 1994, ""date"": ""1994-04-07""},
    {""event"": ""O.J. Simpson chase"", ""year"": 1994, ""date"": ""1994-06-17""},
    {""event"": ""Oklahoma City bombing"", ""year"": 1995, ""date"": ""1995-04-19""},
    {""event"": ""Dunblane school shooting"", ""year"": 1996, ""date"": ""1996-03-13""},
    {""event"": ""Dolly the sheep cloned"", ""year"": 1996, ""date"": ""1996-07-05""},
    {""event"": ""Hong Kong handover to China"", ""year"": 1997, ""date"": ""1997-07-01""},
    {""event"": ""Princess Diana dies"", ""year"": 1997, ""date"": ""1997-08-31""},
    {""event"": ""Good Friday Agreement"", ""year"": 1998, ""date"": ""1998-04-10""},
    {""event"": ""Impeachment of Bill Clinton"", ""year"": 1998, ""date"": ""1998-12-19""},
    {""event"": ""Euro currency introduced"", ""year"": 1999, ""date"": ""1999-01-01""},
    {""event"": ""Y2K non-event"", ""year"": 2000, ""date"": ""2000-01-01""},
    {""event"": ""Bush v. Gore decided"", ""year"": 2000, ""date"": ""2000-12-12""},
    {""event"": ""9/11 attacks"", ""year"": 2001, ""date"": ""2001-09-11""},
    {""event"": ""Enron scandal breaks"", ""year"": 2001, ""date"": ""2001-10-16""},
    {""event"": ""Euro banknotes issued"", ""year"": 2002, ""date"": ""2002-01-01""},
    {""event"": ""Invasion of Iraq"", ""year"": 2003, ""date"": ""2003-03-20""},
    {""event"": ""Madrid train bombings"", ""year"": 2004, ""date"": ""2004-03-11""},
    {""event"": ""Indian Ocean tsunami"", ""year"": 2004, ""date"": ""2004-12-26""},
    {""event"": ""London bombings"", ""year"": 2005, ""date"": ""2005-07-07""},
    {""event"": ""Katrina hurricane hits New Orleans"", ""year"": 2005, ""date"": ""2005-08-29""},
    {""event"": ""Financial crisis begins"", ""year"": 2007, ""date"": ""2007-08-09""},
    {""event"": ""Lehman Brothers collapse"", ""year"": 2008, ""date"": ""2008-09-15""},
    {""event"": ""Obama elected President"", ""year"": 2008, ""date"": ""2008-11-04""},
    {""event"": ""Bitcoin whitepaper published"", ""year"": 2008, ""date"": ""2008-10-31""},
    {""event"": ""Arab Spring in Tunisia"", ""year"": 2010, ""date"": ""2010-12-17""},
    {""event"": ""Death of Osama bin Laden"", ""year"": 2011, ""date"": ""2011-05-02""},
    {""event"": ""Japanese tsunami and Fukushima"", ""year"": 2011, ""date"": ""2011-03-11""},
    {""event"": ""Brexit vote"", ""year"": 2016, ""date"": ""2016-06-23""},
    {""event"": ""Trump elected US President"", ""year"": 2016, ""date"": ""2016-11-08""},
    {""event"": ""COVID-19 first cases in Wuhan"", ""year"": 2019, ""date"": ""2019-12-31""},
    {""event"": ""George Floyd killing"", ""year"": 2020, ""date"": ""2020-05-25""},
    {""event"": ""US Capitol riot"", ""year"": 2021, ""date"": ""2021-01-06""},
    {""event"": ""Russia-Ukraine war starts"", ""year"": 2022, ""date"": ""2022-02-24""}
]
```"
